sample	strainID	genus	species	count	count.correct
H2-d45	HAMBI-2160	Bordetella	avium	0	0
H2-d45	HAMBI-2164	Cupriavidus	necator	0	0
H2-d45	HAMBI-2443	Paracoccus	denitrificans	0	0
H2-d45	HAMBI-2494	Paraburkholderia	kururiensis	0	0
H2-d45	HAMBI-2659	Stenotrophomonas	maltophilia	14317	18613
H2-d45	HAMBI-2792	Moraxella	canis	0	0
H2-d45	HAMBI-3031	Niabella	yanshanensis	0	0
H2-d45	HAMBI-3237	Microvirga	lotononidis	0	0
H2-d5	HAMBI-0006	Pseudomonas	putida	15722	9223
H2-d5	HAMBI-0097	Acinetobacter	lwoffii	4884	1343
H2-d5	HAMBI-0105	Agrobacterium	tumefaciens	15	62
H2-d5	HAMBI-0262	Brevundimonas	bullata	0	0
H2-d5	HAMBI-0403	Comamonas	testosteroni	3738	34808
H2-d5	HAMBI-1279	Hafnia	alvei	5591	4946
H2-d5	HAMBI-1287	Citrobacter	koseri	22909	14241
H2-d5	HAMBI-1292	Morganella	morganii	24474	16734
H2-d5	HAMBI-1299	Kluyvera	intermedia	9056	4279
H2-d5	HAMBI-1842	Sphingobium	yanoikuyae	66	4
H2-d5	HAMBI-1896	Sphingobacterium	spiritivorum	4	6
H2-d5	HAMBI-1923	Myroides	odoratus	702	907
H2-d5	HAMBI-1972	Aeromonas	caviae	74188	66277
H2-d5	HAMBI-1977	Pseudomonas	chlororaphis	10757	17325
H2-d5	HAMBI-1988	Chitinophaga	sancti	2	6
H2-d5	HAMBI-2159	Paraburkholderia	caryophylli	58	64
H2-d5	HAMBI-2160	Bordetella	avium	20	199
H2-d5	HAMBI-2164	Cupriavidus	necator	0	0
H2-d5	HAMBI-2443	Paracoccus	denitrificans	7	47
H2-d5	HAMBI-2494	Paraburkholderia	kururiensis	30	254
H2-d5	HAMBI-2659	Stenotrophomonas	maltophilia	2414	3922
H2-d5	HAMBI-2792	Moraxella	canis	36	22
H2-d5	HAMBI-3031	Niabella	yanshanensis	0	0
H2-d5	HAMBI-3237	Microvirga	lotononidis	30	32
H2-d61	HAMBI-0006	Pseudomonas	putida	0	0
H2-d61	HAMBI-0097	Acinetobacter	lwoffii	0	0
H2-d61	HAMBI-0105	Agrobacterium	tumefaciens	0	0
H2-d61	HAMBI-0262	Brevundimonas	bullata	0	0
H2-d61	HAMBI-0403	Comamonas	testosteroni	6	38
H2-d61	HAMBI-1279	Hafnia	alvei	0	0
H2-d61	HAMBI-1287	Citrobacter	koseri	0	0
H2-d61	HAMBI-1292	Morganella	morganii	20150	9477
H2-d61	HAMBI-1299	Kluyvera	intermedia	0	0
H2-d61	HAMBI-1842	Sphingobium	yanoikuyae	0	0
H2-d61	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
H2-d61	HAMBI-1923	Myroides	odoratus	4	4
H2-d61	HAMBI-1972	Aeromonas	caviae	8	5
H2-d61	HAMBI-1977	Pseudomonas	chlororaphis	98635	109273
H2-d61	HAMBI-1988	Chitinophaga	sancti	0	0
H2-d61	HAMBI-2159	Paraburkholderia	caryophylli	0	0
H2-d61	HAMBI-2160	Bordetella	avium	0	0
H2-d61	HAMBI-2164	Cupriavidus	necator	0	0
H2-d61	HAMBI-2443	Paracoccus	denitrificans	0	0
H2-d61	HAMBI-2494	Paraburkholderia	kururiensis	0	0
H2-d61	HAMBI-2659	Stenotrophomonas	maltophilia	49	55
H2-d61	HAMBI-2792	Moraxella	canis	0	0
H2-d61	HAMBI-3031	Niabella	yanshanensis	0	0
H2-d61	HAMBI-3237	Microvirga	lotononidis	0	0
H2-d9	HAMBI-0006	Pseudomonas	putida	16	8
H2-d9	HAMBI-0097	Acinetobacter	lwoffii	68	16
H2-d9	HAMBI-0105	Agrobacterium	tumefaciens	1	4
H2-d9	HAMBI-0262	Brevundimonas	bullata	0	0
H2-d9	HAMBI-0403	Comamonas	testosteroni	568	4631
H2-d9	HAMBI-1279	Hafnia	alvei	256	198
H2-d9	HAMBI-1287	Citrobacter	koseri	2268	1234
H2-d9	HAMBI-1292	Morganella	morganii	7902	4731
H2-d9	HAMBI-1299	Kluyvera	intermedia	329	136
H2-d9	HAMBI-1842	Sphingobium	yanoikuyae	1	0
H2-d9	HAMBI-1896	Sphingobacterium	spiritivorum	1	1
H2-d9	HAMBI-1923	Myroides	odoratus	54	61
H2-d9	HAMBI-1972	Aeromonas	caviae	26277	20553
H2-d9	HAMBI-1977	Pseudomonas	chlororaphis	14197	20019
H2-d9	HAMBI-1988	Chitinophaga	sancti	1	3
H2-d9	HAMBI-2159	Paraburkholderia	caryophylli	4	4
H2-d9	HAMBI-2160	Bordetella	avium	2	17
H2-d9	HAMBI-2164	Cupriavidus	necator	0	0
H2-d9	HAMBI-2443	Paracoccus	denitrificans	0	0
H2-d9	HAMBI-2494	Paraburkholderia	kururiensis	0	0
H2-d9	HAMBI-2659	Stenotrophomonas	maltophilia	776	1104
H2-d9	HAMBI-2792	Moraxella	canis	0	0
H2-d9	HAMBI-3031	Niabella	yanshanensis	0	0
H2-d9	HAMBI-3237	Microvirga	lotononidis	0	0
H3-d13	HAMBI-0006	Pseudomonas	putida	0	0
H3-d13	HAMBI-0097	Acinetobacter	lwoffii	7	2
H3-d13	HAMBI-0105	Agrobacterium	tumefaciens	1	4
H3-d13	HAMBI-0262	Brevundimonas	bullata	0	0
H3-d13	HAMBI-0403	Comamonas	testosteroni	22	183
H3-d13	HAMBI-1279	Hafnia	alvei	16	13
H3-d13	HAMBI-1287	Citrobacter	koseri	3098	1722
H3-d13	HAMBI-1292	Morganella	morganii	24771	15149
H3-d13	HAMBI-1299	Kluyvera	intermedia	29	12
H3-d13	HAMBI-1842	Sphingobium	yanoikuyae	0	0
H3-d13	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
H3-d13	HAMBI-1923	Myroides	odoratus	0	0
H3-d13	HAMBI-1972	Aeromonas	caviae	36704	29327
H3-d13	HAMBI-1977	Pseudomonas	chlororaphis	40881	58888
H3-d13	HAMBI-1988	Chitinophaga	sancti	0	0
H3-d13	HAMBI-2159	Paraburkholderia	caryophylli	1	1
H3-d13	HAMBI-2160	Bordetella	avium	1	9
H3-d13	HAMBI-2164	Cupriavidus	necator	0	0
H3-d13	HAMBI-2443	Paracoccus	denitrificans	0	0
H3-d13	HAMBI-2494	Paraburkholderia	kururiensis	0	0
H3-d13	HAMBI-2659	Stenotrophomonas	maltophilia	489	711
H3-d13	HAMBI-2792	Moraxella	canis	0	0
H3-d13	HAMBI-3031	Niabella	yanshanensis	0	0
H3-d13	HAMBI-3237	Microvirga	lotononidis	0	0
H3-d17	HAMBI-0006	Pseudomonas	putida	3	1
H3-d17	HAMBI-0097	Acinetobacter	lwoffii	1	0
H3-d17	HAMBI-0105	Agrobacterium	tumefaciens	0	0
H3-d17	HAMBI-0262	Brevundimonas	bullata	0	0
H3-d17	HAMBI-0403	Comamonas	testosteroni	9	69
H3-d17	HAMBI-1279	Hafnia	alvei	4	3
H3-d17	HAMBI-1287	Citrobacter	koseri	1718	882
H3-d17	HAMBI-1292	Morganella	morganii	59696	33708
H3-d17	HAMBI-1299	Kluyvera	intermedia	1	0
H3-d17	HAMBI-1842	Sphingobium	yanoikuyae	0	0
H3-d17	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
H3-d17	HAMBI-1923	Myroides	odoratus	5	5
H3-d17	HAMBI-1972	Aeromonas	caviae	4250	3135
H3-d17	HAMBI-1977	Pseudomonas	chlororaphis	84079	111831
H3-d17	HAMBI-1988	Chitinophaga	sancti	0	0
H3-d17	HAMBI-2159	Paraburkholderia	caryophylli	0	0
H3-d17	HAMBI-2160	Bordetella	avium	0	0
H3-d17	HAMBI-2164	Cupriavidus	necator	0	0
H3-d17	HAMBI-2443	Paracoccus	denitrificans	0	0
H3-d17	HAMBI-2494	Paraburkholderia	kururiensis	0	0
H3-d17	HAMBI-2659	Stenotrophomonas	maltophilia	381	511
H3-d17	HAMBI-2792	Moraxella	canis	0	0
H3-d17	HAMBI-3031	Niabella	yanshanensis	0	0
H3-d17	HAMBI-3237	Microvirga	lotononidis	0	0
H3-d21	HAMBI-0006	Pseudomonas	putida	0	0
H3-d21	HAMBI-0097	Acinetobacter	lwoffii	0	0
H3-d21	HAMBI-0105	Agrobacterium	tumefaciens	0	0
H3-d21	HAMBI-0262	Brevundimonas	bullata	0	0
H3-d21	HAMBI-0403	Comamonas	testosteroni	561	4019
H3-d21	HAMBI-1279	Hafnia	alvei	1	1
H3-d21	HAMBI-1287	Citrobacter	koseri	462	221
H3-d21	HAMBI-1292	Morganella	morganii	18036	9489
H3-d21	HAMBI-1299	Kluyvera	intermedia	0	0
H3-d21	HAMBI-1842	Sphingobium	yanoikuyae	0	0
H3-d21	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
H3-d21	HAMBI-1923	Myroides	odoratus	2648	2633
H3-d21	HAMBI-1972	Aeromonas	caviae	21	14
H3-d21	HAMBI-1977	Pseudomonas	chlororaphis	6518	8077
H3-d21	HAMBI-1988	Chitinophaga	sancti	0	0
H3-d21	HAMBI-2159	Paraburkholderia	caryophylli	0	0
H3-d21	HAMBI-2160	Bordetella	avium	0	0
H3-d21	HAMBI-2164	Cupriavidus	necator	0	0
H3-d21	HAMBI-2443	Paracoccus	denitrificans	0	0
H3-d21	HAMBI-2494	Paraburkholderia	kururiensis	0	0
H3-d21	HAMBI-2659	Stenotrophomonas	maltophilia	15167	18960
H3-d21	HAMBI-2792	Moraxella	canis	0	0
H3-d21	HAMBI-3031	Niabella	yanshanensis	0	0
H3-d21	HAMBI-3237	Microvirga	lotononidis	0	0
H3-d29	HAMBI-0006	Pseudomonas	putida	0	0
H3-d29	HAMBI-0097	Acinetobacter	lwoffii	0	0
H3-d29	HAMBI-0105	Agrobacterium	tumefaciens	0	0
H3-d29	HAMBI-0262	Brevundimonas	bullata	0	0
H3-d29	HAMBI-0403	Comamonas	testosteroni	391	3062
H3-d29	HAMBI-1279	Hafnia	alvei	13	10
H3-d29	HAMBI-1287	Citrobacter	koseri	291	152
H3-d29	HAMBI-1292	Morganella	morganii	16863	9697
H3-d29	HAMBI-1299	Kluyvera	intermedia	0	0
H3-d29	HAMBI-1842	Sphingobium	yanoikuyae	0	0
H3-d29	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
H3-d29	HAMBI-1923	Myroides	odoratus	2264	2461
H3-d29	HAMBI-1972	Aeromonas	caviae	18	14
H3-d29	HAMBI-1977	Pseudomonas	chlororaphis	7066	9571
H3-d29	HAMBI-1988	Chitinophaga	sancti	0	0
H3-d29	HAMBI-2159	Paraburkholderia	caryophylli	0	0
H3-d29	HAMBI-2160	Bordetella	avium	0	0
H3-d29	HAMBI-2164	Cupriavidus	necator	0	0
H3-d29	HAMBI-2443	Paracoccus	denitrificans	0	0
H3-d29	HAMBI-2494	Paraburkholderia	kururiensis	0	0
H3-d29	HAMBI-2659	Stenotrophomonas	maltophilia	5294	7234
H3-d29	HAMBI-2792	Moraxella	canis	0	0
H3-d29	HAMBI-3031	Niabella	yanshanensis	0	0
H3-d29	HAMBI-3237	Microvirga	lotononidis	0	0
H3-d45	HAMBI-0006	Pseudomonas	putida	0	0
H3-d45	HAMBI-0097	Acinetobacter	lwoffii	0	0
H3-d45	HAMBI-0105	Agrobacterium	tumefaciens	2	7
H3-d45	HAMBI-0262	Brevundimonas	bullata	0	0
H3-d45	HAMBI-0403	Comamonas	testosteroni	291	2345
H3-d45	HAMBI-1279	Hafnia	alvei	47	36
H3-d45	HAMBI-1287	Citrobacter	koseri	430	231
H3-d45	HAMBI-1292	Morganella	morganii	21563	12760
H3-d45	HAMBI-1299	Kluyvera	intermedia	0	0
H3-d45	HAMBI-1842	Sphingobium	yanoikuyae	0	0
H3-d45	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
H3-d45	HAMBI-1923	Myroides	odoratus	2734	3058
H3-d45	HAMBI-1972	Aeromonas	caviae	86	66
H3-d45	HAMBI-1977	Pseudomonas	chlororaphis	6011	8378
H3-d45	HAMBI-1988	Chitinophaga	sancti	0	0
H3-d45	HAMBI-2159	Paraburkholderia	caryophylli	0	0
H3-d45	HAMBI-2160	Bordetella	avium	0	0
H3-d45	HAMBI-2164	Cupriavidus	necator	0	0
H3-d45	HAMBI-2443	Paracoccus	denitrificans	0	0
H3-d45	HAMBI-2494	Paraburkholderia	kururiensis	0	0
H3-d45	HAMBI-2659	Stenotrophomonas	maltophilia	10545	14827
H3-d45	HAMBI-2792	Moraxella	canis	0	0
H3-d45	HAMBI-3031	Niabella	yanshanensis	0	0
H3-d45	HAMBI-3237	Microvirga	lotononidis	0	0
H3-d5	HAMBI-0006	Pseudomonas	putida	18193	11881
H3-d5	HAMBI-0097	Acinetobacter	lwoffii	3347	1024
H3-d5	HAMBI-0105	Agrobacterium	tumefaciens	13	60
H3-d5	HAMBI-0262	Brevundimonas	bullata	0	0
H3-d5	HAMBI-0403	Comamonas	testosteroni	1466	15197
H3-d5	HAMBI-1279	Hafnia	alvei	4112	4050
H3-d5	HAMBI-1287	Citrobacter	koseri	16478	11403
H3-d5	HAMBI-1292	Morganella	morganii	16410	12491
H3-d5	HAMBI-1299	Kluyvera	intermedia	6178	3249
H3-d5	HAMBI-1842	Sphingobium	yanoikuyae	51	3
H3-d5	HAMBI-1896	Sphingobacterium	spiritivorum	2	3
H3-d5	HAMBI-1923	Myroides	odoratus	458	659
H3-d5	HAMBI-1972	Aeromonas	caviae	52194	51908
H3-d5	HAMBI-1977	Pseudomonas	chlororaphis	6745	12093
H3-d5	HAMBI-1988	Chitinophaga	sancti	2	7
H3-d5	HAMBI-2159	Paraburkholderia	caryophylli	55	68
H3-d5	HAMBI-2160	Bordetella	avium	20	222
H3-d5	HAMBI-2164	Cupriavidus	necator	0	0
H3-d5	HAMBI-2443	Paracoccus	denitrificans	8	60
H3-d5	HAMBI-2494	Paraburkholderia	kururiensis	21	198
H3-d5	HAMBI-2659	Stenotrophomonas	maltophilia	1477	2671
H3-d5	HAMBI-2792	Moraxella	canis	61	41
H3-d5	HAMBI-3031	Niabella	yanshanensis	0	0
H3-d5	HAMBI-3237	Microvirga	lotononidis	9	11
H3-d61	HAMBI-0006	Pseudomonas	putida	2	1
H3-d61	HAMBI-0097	Acinetobacter	lwoffii	0	0
H3-d61	HAMBI-0105	Agrobacterium	tumefaciens	0	0
H3-d61	HAMBI-0262	Brevundimonas	bullata	0	0
H3-d61	HAMBI-0403	Comamonas	testosteroni	3	19
H3-d61	HAMBI-1279	Hafnia	alvei	0	0
H3-d61	HAMBI-1287	Citrobacter	koseri	0	0
H3-d61	HAMBI-1292	Morganella	morganii	17071	8116
H3-d61	HAMBI-1299	Kluyvera	intermedia	0	0
H3-d61	HAMBI-1842	Sphingobium	yanoikuyae	0	0
H3-d61	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
H3-d61	HAMBI-1923	Myroides	odoratus	0	0
H3-d61	HAMBI-1972	Aeromonas	caviae	10	6
H3-d61	HAMBI-1977	Pseudomonas	chlororaphis	74554	83490
H3-d61	HAMBI-1988	Chitinophaga	sancti	0	0
H3-d61	HAMBI-2159	Paraburkholderia	caryophylli	0	0
H3-d61	HAMBI-2160	Bordetella	avium	0	0
H3-d61	HAMBI-2164	Cupriavidus	necator	0	0
H3-d61	HAMBI-2443	Paracoccus	denitrificans	0	0
H3-d61	HAMBI-2494	Paraburkholderia	kururiensis	0	0
H3-d61	HAMBI-2659	Stenotrophomonas	maltophilia	56	63
H3-d61	HAMBI-2792	Moraxella	canis	0	0
H3-d61	HAMBI-3031	Niabella	yanshanensis	0	0
H3-d61	HAMBI-3237	Microvirga	lotononidis	0	0
H3-d9	HAMBI-0006	Pseudomonas	putida	15	8
H3-d9	HAMBI-0097	Acinetobacter	lwoffii	62	16
H3-d9	HAMBI-0105	Agrobacterium	tumefaciens	1	4
H3-d9	HAMBI-0262	Brevundimonas	bullata	0	0
H3-d9	HAMBI-0403	Comamonas	testosteroni	295	2544
H3-d9	HAMBI-1279	Hafnia	alvei	228	187
H3-d9	HAMBI-1287	Citrobacter	koseri	3451	1986
H3-d9	HAMBI-1292	Morganella	morganii	8741	5534
H3-d9	HAMBI-1299	Kluyvera	intermedia	326	143
H3-d9	HAMBI-1842	Sphingobium	yanoikuyae	0	0
H3-d9	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
H3-d9	HAMBI-1923	Myroides	odoratus	37	44
H3-d9	HAMBI-1972	Aeromonas	caviae	40447	33459
H3-d9	HAMBI-1977	Pseudomonas	chlororaphis	19136	28539
H3-d9	HAMBI-1988	Chitinophaga	sancti	1	3
H3-d9	HAMBI-2159	Paraburkholderia	caryophylli	2	2
H3-d9	HAMBI-2160	Bordetella	avium	1	9
H3-d9	HAMBI-2164	Cupriavidus	necator	0	0
H3-d9	HAMBI-2443	Paracoccus	denitrificans	0	0
H3-d9	HAMBI-2494	Paraburkholderia	kururiensis	1	8
H3-d9	HAMBI-2659	Stenotrophomonas	maltophilia	512	770
H3-d9	HAMBI-2792	Moraxella	canis	0	0
H3-d9	HAMBI-3031	Niabella	yanshanensis	0	0
H3-d9	HAMBI-3237	Microvirga	lotononidis	4	4
H4-d13	HAMBI-0006	Pseudomonas	putida	0	0
H4-d13	HAMBI-0097	Acinetobacter	lwoffii	2	0
H4-d13	HAMBI-0105	Agrobacterium	tumefaciens	0	0
H4-d13	HAMBI-0262	Brevundimonas	bullata	0	0
H4-d13	HAMBI-0403	Comamonas	testosteroni	13	108
H4-d13	HAMBI-1279	Hafnia	alvei	14	11
H4-d13	HAMBI-1287	Citrobacter	koseri	1406	777
H4-d13	HAMBI-1292	Morganella	morganii	13745	8350
H4-d13	HAMBI-1299	Kluyvera	intermedia	10	4
H4-d13	HAMBI-1842	Sphingobium	yanoikuyae	0	0
H4-d13	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
H4-d13	HAMBI-1923	Myroides	odoratus	4	5
H4-d13	HAMBI-1972	Aeromonas	caviae	17214	13663
H4-d13	HAMBI-1977	Pseudomonas	chlororaphis	21581	30881
H4-d13	HAMBI-1988	Chitinophaga	sancti	0	0
H4-d13	HAMBI-2159	Paraburkholderia	caryophylli	0	0
H4-d13	HAMBI-2160	Bordetella	avium	0	0
H4-d13	HAMBI-2164	Cupriavidus	necator	0	0
H4-d13	HAMBI-2443	Paracoccus	denitrificans	0	0
H4-d13	HAMBI-2494	Paraburkholderia	kururiensis	0	0
H4-d13	HAMBI-2659	Stenotrophomonas	maltophilia	429	619
H4-d13	HAMBI-2792	Moraxella	canis	0	0
H4-d13	HAMBI-3031	Niabella	yanshanensis	0	0
H4-d13	HAMBI-3237	Microvirga	lotononidis	0	0
H4-d17	HAMBI-0006	Pseudomonas	putida	3	1
H4-d17	HAMBI-0097	Acinetobacter	lwoffii	0	0
H4-d17	HAMBI-0105	Agrobacterium	tumefaciens	2	7
H4-d17	HAMBI-0262	Brevundimonas	bullata	0	0
H4-d17	HAMBI-0403	Comamonas	testosteroni	5	37
H4-d17	HAMBI-1279	Hafnia	alvei	2	1
H4-d17	HAMBI-1287	Citrobacter	koseri	1715	856
H4-d17	HAMBI-1292	Morganella	morganii	68574	37657
H4-d17	HAMBI-1299	Kluyvera	intermedia	0	0
H4-d17	HAMBI-1842	Sphingobium	yanoikuyae	0	0
H4-d17	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
H4-d17	HAMBI-1923	Myroides	odoratus	6	6
H4-d17	HAMBI-1972	Aeromonas	caviae	5896	4230
H4-d17	HAMBI-1977	Pseudomonas	chlororaphis	113270	146516
H4-d17	HAMBI-1988	Chitinophaga	sancti	0	0
H4-d17	HAMBI-2159	Paraburkholderia	caryophylli	0	0
H4-d17	HAMBI-2160	Bordetella	avium	0	0
H4-d17	HAMBI-2164	Cupriavidus	necator	0	0
H4-d17	HAMBI-2443	Paracoccus	denitrificans	0	0
H4-d17	HAMBI-2494	Paraburkholderia	kururiensis	0	0
H4-d17	HAMBI-2659	Stenotrophomonas	maltophilia	527	688
H4-d17	HAMBI-2792	Moraxella	canis	0	0
H4-d17	HAMBI-3031	Niabella	yanshanensis	0	0
H4-d17	HAMBI-3237	Microvirga	lotononidis	0	0
H4-d21	HAMBI-0006	Pseudomonas	putida	0	0
H4-d21	HAMBI-0097	Acinetobacter	lwoffii	0	0
H4-d21	HAMBI-0105	Agrobacterium	tumefaciens	0	0
H4-d21	HAMBI-0262	Brevundimonas	bullata	0	0
H4-d21	HAMBI-0403	Comamonas	testosteroni	292	2169
H4-d21	HAMBI-1279	Hafnia	alvei	7	5
H4-d21	HAMBI-1287	Citrobacter	koseri	105	52
